id,shape,carat,style,gold,image,image_filename,category
503,round,4.18,ring,yellow,https://geer.in/cdn/shop/files/DDLR-172RD_Y1.jpg?v=1751975878,503_DDLR-172RD_Y1.jpg,ring
504,pear,3.15,halo,rose,https://geer.in/cdn/shop/files/DDLR-173PE_R1.jpg?v=1751975879,504_DDLR-173PE_R1.jpg,ring
505,princess,2.01,ring,rose,https://geer.in/cdn/shop/files/DDLR-174PR_R1.jpg?v=1751975878,505_DDLR-174PR_R1.jpg,ring
506,oval,2.21,ring,yellow,https://geer.in/cdn/shop/files/DDLR-166OV_Y1.jpg?v=1751975862,506_DDLR-166OV_Y1.jpg,ring
507,round,1.65,solitaire,white,https://geer.in/cdn/shop/files/DDLR-176RD_W1.jpg?v=1751975877,507_DDLR-176RD_W1.jpg,ring
508,emerald,2.83,ring,white,https://geer.in/cdn/shop/files/DDLR-167EM_W1.jpg?v=1751975861,508_DDLR-167EM_W1.jpg,ring
509,cushion,2.34,ring,rose,https://geer.in/cdn/shop/files/DDLR-168CU_R1.jpg?v=1751975862,509_DDLR-168CU_R1.jpg,ring
510,cushion,2.3,ring,yellow,https://geer.in/cdn/shop/files/DDLR-177CU_Y1.jpg?v=1751975878,510_DDLR-177CU_Y1.jpg,ring
511,oval,2.34,vintage,yellow,https://geer.in/cdn/shop/files/DDLR-180OV_Y1.jpg?v=1751975879,511_DDLR-180OV_Y1.jpg,ring
512,cushion,2.14,ring,white,https://geer.in/cdn/shop/files/DDLR-182CU_W1.jpg?v=1751975878,512_DDLR-182CU_W1.jpg,ring
513,pear,3.76,halo,yellow,https://geer.in/cdn/shop/files/DDLR-186PE_Y1.jpg?v=1751975880,513_DDLR-186PE_Y1.jpg,ring
514,pear,1.54,ring,yellow,https://geer.in/cdn/shop/files/DDLR-187RD_Y1.jpg?v=1751975880,514_DDLR-187RD_Y1.jpg,ring
515,round,2.07,ring,rose,https://geer.in/cdn/shop/files/DDLR-188RD_R1.jpg?v=1751975880,515_DDLR-188RD_R1.jpg,ring
516,round,1.12,ring,rose,https://geer.in/cdn/shop/files/DDLR-189_R1.jpg?v=1751975880,516_DDLR-189_R1.jpg,ring
517,round,1.68,ring,white,https://geer.in/cdn/shop/files/DDLR-190RD_W1.jpg?v=1751975879,517_DDLR-190RD_W1.jpg,ring
518,oval,2.06,ring,yellow,https://geer.in/cdn/shop/files/DDLR-192OV_Y1.jpg?v=1751975880,518_DDLR-192OV_Y1.jpg,ring
519,round,4.76,ring,yellow,https://geer.in/cdn/shop/files/DDLR-193RD_Y1.jpg?v=1751975904,519_DDLR-193RD_Y1.jpg,ring
520,emerald,3.4,three stone,white,https://geer.in/cdn/shop/files/DDLR-197EM_W1.jpg?v=1751975902,520_DDLR-197EM_W1.jpg,ring
521,oval,6.7,ring,yellow,https://geer.in/cdn/shop/files/DDLR-198OV_Y1.jpg?v=1751975904,521_DDLR-198OV_Y1.jpg,ring
522,cushion,3.75,halo,yellow,https://geer.in/cdn/shop/files/DDLR-200CU_Y1.jpg?v=1751975904,522_DDLR-200CU_Y1.jpg,ring
523,marquise,1.86,ring,rose,https://geer.in/cdn/shop/files/DDLR-201MQ_R1.jpg?v=1751975903,523_DDLR-201MQ_R1.jpg,ring
524,radiant,2.99,halo,rose,https://geer.in/cdn/shop/files/DDLR-202RA_R1.jpg?v=1751975904,524_DDLR-202RA_R1.jpg,ring
525,round,2.82,ring,white,https://geer.in/cdn/shop/files/DDLR-203RD_W1.jpg?v=1751975903,525_DDLR-203RD_W1.jpg,ring
526,princess,3.78,ring,yellow,https://geer.in/cdn/shop/files/DDLR-204PR_Y1.jpg?v=1751975905,526_DDLR-204PR_Y1.jpg,ring
527,round,2.2,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-205RD_Y1.jpg?v=1751975905,527_DDLR-205RD_Y1.jpg,ring
528,oval,5.7,eternity,white,https://geer.in/cdn/shop/files/DDLR-206OV_W1.jpg?v=1751975905,528_DDLR-206OV_W1.jpg,ring
529,emerald,4.0,eternity,rose,https://geer.in/cdn/shop/files/DDLR-207_R1.jpg?v=1751975906,529_DDLR-207_R1.jpg,ring
530,asscher,7.5,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-209AC_Y1.jpg?v=1751975906,530_DDLR-209AC_Y1.jpg,ring
531,,1.98,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-210RD_Y1.jpg?v=1751975906,531_DDLR-210RD_Y1.jpg,ring
532,oval,4.0,ring,rose,https://geer.in/cdn/shop/files/DDLR-211OV_R1.jpg?v=1751975906,532_DDLR-211OV_R1.jpg,ring
533,round,0.47,eternity,white,https://geer.in/cdn/shop/files/DDLR-212RD_W1.jpg?v=1751975905,533_DDLR-212RD_W1.jpg,ring
534,,1.51,eternity,rose,https://geer.in/cdn/shop/files/DDLR-213RD_R1.jpg?v=1751975925,534_DDLR-213RD_R1.jpg,ring
535,round,1.32,ring,rose,https://geer.in/cdn/shop/files/DDLR-214RD_R1.jpg?v=1751975926,535_DDLR-214RD_R1.jpg,ring
536,,5.52,eternity,yellow,https://geer.in/cdn/shop/files/DDLR-215EM_Y1.jpg?v=1751975928,536_DDLR-215EM_Y1.jpg,ring
537,,2.64,ring,yellow,https://geer.in/cdn/shop/files/DDLR-216RD_Y1.jpg?v=1751975927,537_DDLR-216RD_Y1.jpg,ring
538,radiant,2.04,ring,white,https://geer.in/cdn/shop/files/DDLR-254RA_W1.jpg?v=1751975966,538_DDLR-254RA_W1.jpg,ring
